${MART}.,PMART.
${DATA}.,PDATA.
${STAGE}.,PSTAGE.
PDATA.AC_RMMMDDI,dev.remd_ac
PDATA.ACT_TIME_W,dev.act_time_w
PDATA.aghagnm,dev.aghagnm
PDATA.AGMAGNT,dev.m_ag
PDATA.AGMCLASS,dev.m_ag_cat
PDATA.BLGS_91CODEMAP,dev.vw_foc_config
PDATA.BLGS_91ORDACC,dev.foc_acc
PDATA.blgs_91ordsal,dev.blgs_91ordsal
PDATA.BLGS_ECCODE,dev.ec_code
PDATA.BLGS_ECGOT,dev.ec_got
PDATA.BLGS_ECINP,dev.ec_inp
PDATA.BLGS_ECKND,dev.ec_knd
PDATA.BLGS_ECORD,dev.ec_tx
PDATA.BLGS_ECPID,dev.ec_pid
PDATA.BLGS_ECRC,dev.ec_rc
PDATA.BLGS_ECRTN,dev.ec_rtn
PDATA.BLGS_ECSND,dev.ec_snd
PDATA.BLGS_ECTKE,dev.ec_tke
PDATA.BLGS_ECVEN,dev.ec_ven
PDATA.COMM_ACZ,dev.comm_acz
PDATA.DCM_WEAT_INFO,dev.dcm_weat_info
PDATA.DEPAMT_WEAT_AREA,dev.depamt_weat_area
PDATA.DVMOBJECT,dev.m_obj_dv
PDATA.DVSHOPDIST,dev.m_shopdist_dv
PDATA.FESTL,dev.festl
PDATA.FESTL_PRD_SET,dev.festl_prd_set
PDATA.GPMB_CG_BIG,dev.gpmb_prd_bigcat
PDATA.GPMB_CG_MAP,dev.gpmb_prd_cat
PDATA.GPMB_CG_SMALL,dev.gpmb_prd_smallcat
PDATA.GPMB_CG_SPECIAL,dev.gpmb_prd_theme
PDATA.GPMB_CG_SPECIAL_MAP,dev.gpmb_prd_themecat
PDATA.GPMB_GRPORDERD,dev.gpmb_tx_prd
PDATA.GPMB_GRPORDERM,dev.gpmb_tx
PDATA.GPMB_MT_COMMODITY,dev.gpmb_prd
PDATA.GPMB_SETCODE,dev.gpmb_code
PDATA.GPMB_SETGRPM,dev.gpmb_group
PDATA.GPMB_SETGRPMB,dev.gpmb_group_mem
PDATA.GPMB_SETOWNER,dev.gpmb_store_lead
PDATA.GPMB_SETPICK,dev.gpmb_store_pick
PDATA.GPMB_SETPRD,dev.gpmb_prd_code
PDATA.GREENPOINT_RCP_ISSUANCE,dev.gp_prd
PDATA.GREENPOINT_RCP_VOID,dev.gp_inv
PDATA.HAPY_MAST,dev.m_promo_pnt
PDATA.HAPY_MAST_PRD,dev.m_promo_pnt_prd
PDATA.IGA_POR,dev.psl_igapor
PDATA.inprddetail,dev.inprd_dtl
PDATA.LATEST_SHOPDIST,dev.m_store_shopdist
PDATA.MEMBER_POINT,dev.pnt_stock
PDATA.MEMBER_SEND,dev.psl_send
PDATA.MEMBER_STOCK,dev.psl_stock
PDATA.MEMBER_STOCK_ALL,dev.psl_stock_all
PDATA.MST_PERM,dev.m_perm
PDATA.MTHOLPRDC,dev.m_mtholprdc
PDATA.MTHPROMO,dev.m_promo_mth
PDATA.ODVFMGP,dev.m_cmdt_odv
PDATA.ORDDETAIL,dev.order_dtl
PDATA.OSTORE_WEAT,dev.ostore_weat
PDATA.PAS_CHGDETAIL,dev.psl_chg
PDATA.PAS_PACK_ITEM_SERIES,dev.psl_code_prd
PDATA.PAS_PACK_ITEMC,dev.psl_code_des
PDATA.PAS_PACK_ITEMD,dev.psl_code_cat
PDATA.PAS_PACK_ITEMM,dev.psl_code_act
PDATA.PAS_PAYDETAIL,dev.psl_pay
PDATA.PAS_SHAACCMEM,tfmds.psl_sh_list
PDATA.PAS_SHAFMMEM,tfmds.psl_sh_prd
PDATA.PAS_SHASUM,tfmds.psl_sh_mem
PDATA.PAS_TMP,dev.psl_tmp
PDATA.PAY_CATEGORY,dev.m_pay_code
PDATA.PBHCMDT,dev.m_cmdt_hist
PDATA.PBIFMT8010,dev.m_code2
PDATA.PBMCMDT,dev.m_cmdt
PDATA.PBMCMDT_BR,dev.m_cmdt_br
PDATA.pbmcmdt_vd,tfmds.m_cmdt_vd
PDATA.PBMCODE,dev.m_code
PDATA.PBMDEPT,dev.m_dept
PDATA.pbmecmdt,dev.m_cmdt_e
PDATA.PBMEMP,dev.m_emp
PDATA.PBMEPST,dev.m_store_epst
PDATA.PBMKGRP,dev.m_kgrp
PDATA.PBMPAYTYPE,dev.m_paytype
PDATA.PBMPUBSCH,dev.m_pubsch
PDATA.PBMSTOL,dev.m_store_l
PDATA.PBMSTOR,dev.m_store
PDATA.PBMSTOR_MAP,dev.m_store_map
PDATA.PBMSTTP,dev.m_store_sttp
PDATA.PBMUNST,dev.m_store_unst
PDATA.PBMVEND,dev.m_vend
PDATA.PRD_DIM_UPLOAD_STNUM,dev.prd_dim_upload_stnum
PDATA.PRE_PICKUP,dev.psl_pickup
PDATA.PROMO,dev.m_promo
PDATA.PROMO_ACTIVITY,dev.m_promo_actv
PDATA.PROMO_AREA,dev.m_promo_area
PDATA.PROMO_GROUP,dev.m_promo_group
PDATA.PROMO_LEVEL,dev.m_promo_level
PDATA.PROMO_PRODUCT,dev.m_promo_prd
PDATA.RETPRDDETAIL,dev.retprd_dtl
PDATA.SALESDETAIL,dev.sal_prd
PDATA.ST_PICL3090M,dev.picl3090m
PDATA.ST_REMD1400M,dev.budget_store_m
PDATA.ST_REMD1400M_NCIG,dev.budget_ncig_store_m
PDATA.ST_REMD1400Y,dev.budget_dept_m
PDATA.ST_REMD1400Y_NCIG,dev.budget_ncig_dept_m
PDATA.ST_SALES,dev.sal_prd_ctime
PDATA.ST_THROW,dev.pos_throw_ctime
PDATA.STORE_SHOP,dev.m_shopdist
PDATA.SV_STORE_BOSS,dev.m_store_boss
PDATA.throwdetail,dev.throw_dtl
PDATA.TRANS,dev.pos_tx
PDATA.TRANS_AG,dev.pos_tx_ag
PDATA.TRANS_AG_EC,dev.pos_tx_ag_ec
PDATA.TRANS_CARD_ADDVALUE,dev.pay_card_add
PDATA.TRANS_CARD_PAY,dev.pay_card
PDATA.TRANS_CARD_POINT_ADD,dev.pay_card_pnt_add
PDATA.TRANS_CARD_POINT_DISCOUNT,dev.pay_card_pnt_dis
PDATA.TRANS_CARD_POINT_EXG,dev.pay_card_pnt_exg
PDATA.TRANS_DISCOUNT,dev.pos_tx_dis
PDATA.TRANS_INPRD,dev.pos_inprd
PDATA.TRANS_INV,dev.pos_inv
PDATA.TRANS_MM_PROMO,dev.pos_tx_mm
